0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
1e-08,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
1e-06,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
0.0001,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
0.01,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
2.0,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
4.0,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
6.0,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,0.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,1e-08,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,1e-06,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,0.0001,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,0.01,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,4.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,6.0,0.1,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.0,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,1e-08,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,1e-06,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.0001,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.01,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,2.0,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,4.0,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,6.0,1.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,0.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,1e-08,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,1e-06,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,0.0001,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,0.01,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,2.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,4.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,6.0,8e-05,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,1.0,0.0,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
30.0,2.0,0.1,1.0,1e-08,0.1,1.0,1.0,0.0025,0.0025,2e-12,3e-15,0.1,1,1,0.05,0.01,0.0092,0.0092,3e-16,1,0.001,0.0001,0.1,1,1,0.0004,0.0004,2,0.001,0.1,5e-05,1
