0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,0.001,1.0,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,0.1,1.0,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,2.0,1.0,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,5.0,1.0,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1e-06,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,0.001,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,0.1,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,2.0,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,5.0,0.04,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,1e-06,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.001,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.1,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,2.0,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,5.0,1.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1e-06,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,0.001,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,0.1,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,2.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,5.0,1.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1e-06,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,0.001,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,0.1,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,2.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,5.0,5e-05,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,1e-06,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,0.001,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,0.1,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,2.0,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,5.0,1.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,5e-05,1e-06
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,5e-05,0.001
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,5e-05,0.1
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,5e-05,2.0
1.0,1.0,1.0,3e-05,0,1,1.0,9.5e-05,0.25,1.0,0.92,0.05,0,1.0,1.0,0.04,1.0,1.0,5e-05,5.0
